id,text,category,language,source,link,annotator,notes,original_category,recategorization_reason
it_0000,Prezzo di pubblicazione € 57 (-61%),Misdirection,it,yoox.com,https://www.yoox.com/it/30392326AF/item,annotator1,Inflated original price used to exaggerate discount magnitude,,
it_0001,ULTIMA CHANCE,Urgency,it,yoox.com,https://www.yoox.com/it/30392326AF/item,annotator1,Navigation label in red creating urgency pressure to buy immediately,,
it_0002,SUBITO PER TE UNO SCONTO DEL -15%,Urgency,it,yoox.com,https://www.yoox.com/it/30392326AF/item,annotator1,Popup discount creating immediate purchase pressure using 'subito' (right now),,
it_0003,Prezzo più basso 30 gg € 19,Not Dark Pattern,it,yoox.com,https://www.yoox.com/it/30392326AF/item,annotator1,Confusing price anchoring — lowest price in 30 days shown alongside inflated original,Misdirection,Art.17-bis 30-day statutory disclosure (yoox)
it_0004,Spedizione gratuita per gli ordini superiori a 120 €. Spedizione standard € 6.,Not Dark Pattern,it,yoox.com,https://www.yoox.com/it/30392326AF/item,annotator1,Conditional free shipping hides actual delivery cost — €6 standard applies to most orders,Misdirection,"Transparent shipping-policy disclosure; cost stated, not hidden — not Misdirection"
it_0005,"PREZZO FINITO, VALIDO PER CHI HA DISPONIBILITÀ ECONOMICA A CONCLUDERE IN GIORNATA.",Not Dark Pattern,it,subito.it,https://www.subito.it/auto/prezzo-finito-passaggio-incluso-fiat-500l-nov-14-lecce-639140008.htm,annotator1,Artificial same-day deadline to pressure buyer into quick decision,Urgency,Subito.it private-seller free-text rhetoric; out of EC-DarkPattern platform scope (consistent with it_0006/7/8)
it_0006,"NO PERMUTE, NO SCAMBI, NO ""Pagherò tra un mese"". NO PERDITE DI TEMPO, NO AFFARISTI.",Not Dark Pattern,it,subito.it,https://www.subito.it/auto/prezzo-finito-passaggio-incluso-fiat-500l-nov-14-lecce-639140008.htm,annotator1,Coercive restrictions eliminating buyer flexibility and imposing seller conditions,Misdirection,User-generated seller restrictions on classifieds; out of EC-DarkPattern platform scope
it_0007,"Ci rimetto tanto, ma voglio liberarmene e diventa un'occasione per chi vuole prenderla davvero, senza perdite di tempo.",Not Dark Pattern,it,subito.it,https://www.subito.it/auto/prezzo-finito-passaggio-incluso-fiat-500l-nov-14-lecce-639140008.htm,annotator1,False sacrifice framing — seller claims financial loss to manipulate buyer sympathy,Misdirection,User-generated seller rhetoric on classifieds; out of EC-DarkPattern platform scope
it_0008,🔥 PREZZO FINITO: 4780€ PASSAGGIO INCLUSO 🔥,Not Dark Pattern,it,subito.it,https://www.subito.it/auto/prezzo-finito-passaggio-incluso-fiat-500l-nov-14-lecce-639140008.htm,annotator1,Emotional framing with fire emoji and capitalized 'PREZZO FINITO' to manufacture deal-completeness perception on a private listing,Misdirection,User-generated seller rhetoric on classifieds; out of EC-DarkPattern platform scope
it_0009,Ultimo accesso: 4 minuti fa,Not Dark Pattern,it,subito.it,https://www.subito.it/auto/audi-a3-cabriolet-messina-647364661.htm,annotator1,"Seller last-access timestamp is neutral platform metadata, not a manipulative signal about other buyers",,
it_0010,Vettura affidabile e pronta all'uso.,Not Dark Pattern,it,subito.it,https://www.subito.it/auto/audi-a3-cabriolet-messina-647364661.htm,annotator1,Neutral factual product description — no manipulative element,,
it_0011,"-50% 16,00 €",Misdirection,it,ibs.it,https://www.ibs.it/scritti-libro-leonardo-da-vinci/e/9788818026351,annotator1,Crossed-out original price shown prominently to exaggerate discount perception,,
